Summary,Custom field (Requirement ID),Description,Custom field (Requirement Rationale)
LC1000,LC1000,"Upon receipt of a No-Op command, LC shall increment the LC Valid Command Counter and generate an event message.",Debug command to verify application is alive.  Heritage from LRO.
LC1001,LC1001,"Upon receipt of a Reset command, LC shall reset the following housekeeping variables to a value of zero:
a)	Valid Command Counter
b)	Command Rejected Counter
c)	Passive RTS Execution Counter
d)	Actionpoint Sample Count
e)	TLM Count
f)	RTS Execution Counter","Important for testing and on-orbit flight operations in order to start with a “clean slate”.  Heritage from LRO, SDO."
LC1002,LC1002,"For all LC commands, if the length contained in the message header is not equal to the expected length, LC shall reject the command and issue an event message.","Basic command verification in the event of  SEU or memory corruption.  Heritage from LRO, SDO."
LC1003,LC1003,"If LC accepts any command as valid, LC shall execute the command, increment the LC Valid Command Counter and issue an event message.","Operators require feedback on command execution.  Note that this only applies to “ground commands” (i.e. does not include requests that come from the scheduler).  Heritage from LRO, SDO."
LC1004,LC1004,"If LC rejects any command, LC shall abort the command execution, increment the LC Command Rejected Counter and issue an error event message.","Operators require feedback on command execution. Heritage from LRO, SDO."
LC2000,LC2000,The flight software shall monitor a maximum of <PLATFORM_DEFINED> Watchpoints.,"Need to define a limit for defining data structures.  Heritage from LRO, SDO."
LC2001,LC2001,For each Watchpoint specified in the Watchpoint Definition Table (WDT) LC shall specify an age value which indicates when the data becomes “stale”.,Need to provide a means of ensuring evaluated data is not stale.  Heritage from MMS.
LC2002,LC2002,For each Watchpoint specified in the Watchpoint Definition Table (WDT) LC shall maintain the age of the data.,Need to provide a means of ensuring evaluated data is not stale.  Heritage from MMS.
LC2003,LC2003,"Upon receipt of a message, LC shall compare the data in the message to the table-defined value using the table-defined comparison value and comparison operator for each data point defined in the Watchpoint Definition Table (WDT) if the LC Application State is one of the following:
a)	Active
b)	Passive","Telemetry Watchpoints shall be evaluated whenever the message (packet) containing the data to be examined is received.  If LC App is Disabled, LC does not process WDT or ADT.   Disabled state useful for making updates to LC tables (note that LC does not have to be disabled in order to make WDT or ADT updates, however, care must be taken to ensure the validity of the relationship between the 2 tables during updates). Note that individual Watchpoints can’t be disabled;  Individual Actionpoints can be disabled.  Note also that WDT can have unused entries.  Heritage from LRO (loosely SDO)."
LC2003.1,LC2003.1,"LC shall support the following comparison values:
a)       =
b)       !=
c)       >
d)      >=
e)      <
f)        <=",Watchdog comparison values
LC2003.2,LC2003.2,"If the WDT comparison operator specifies that a Custom Function shall be performed, LC shall apply the custom function to the data contained in the message.",Provides capability to do a calculation on the data instead of just a comparison.  Heritage from LRO (loosely SDO).
LC2003.3,LC2003.3,"If the comparison result for a Watchpoint results in a False, LC shall set the Number of Consecutive True values to zero.","Restarts the consecutive True values.  Heritage from LRO, SDO."
LC2003.4,LC2003.4,"If the Watchpoint cannot be evaluated, LC shall set the Watchpoint Results Table to ERROR for the erroneous Watchpoint.",Want to report that there was an erroneous watchpoint.  Heritage from LRO.
